id,collocation,label,synonym,source,sentence_with_gap,sentence_filled
358,выводить из забытья,1,напомнить,dict,После долгих лет забвения старинную традицию удалось [MASK] и возродить.,После долгих лет забвения старинную традицию удалось вывести из забытья и возродить.
359,выводить из затруднения,1,помогать,dict,Наставник всегда должен [MASK] ученика с помощью подсказок.,Наставник всегда должен выводить из затруднения ученика с помощью подсказок.
360,выводить из конюшен,0,-,nat_corpus,,
361,выводить из состояния,0,-,nat_corpus,,
362,выводить из употребления,0,-,nat_corpus,,
363,выдавить лимон,0,-,nat_corpus,,
364,выдавить по капле,0,-,nat_corpus,,
365,выдавить слезу,1,заплакать,nat_corpus,"Она еле-еле [MASK], чтобы показать свое сострадание, потому что все вокруг заливались слезами от горя и утраты, и ей было неловко просто сидеть и смотреть на это.","Она еле-еле выдавила слезу, чтобы показать свое сострадание, потому что все вокруг заливались слезами от горя и утраты, и ей было неловко просто сидеть и смотреть на это."
366,выдавить сок,0,-,GPT-4o,,
367,выдавить спасибо,1,поблагодарить,nat_corpus,"Он нехотя [MASK], зная, что его благодарность все равно не прозвучит искренне.","Он нехотя выдавил спасибо, зная, что его благодарность все равно не прозвучит искренне."
368,выдавить тюбик,0,-,nat_corpus,,
369,выдавить улыбку,1,улыбнуться,dict,"Несмотря на усталость, она смогла [MASK], чтобы не огорчать детей, хотя эта улыбка была очень грустной.","Несмотря на усталость, она смогла выдавить улыбку, чтобы не огорчать детей, хотя эта улыбка была очень грустной."
370,выдвигать аргумент,1,аргументировать,dict,"В ходе дебатов он начал [MASK], подтверждая свою точку зрения.","В ходе дебатов он начал выдвигать аргумент, подтверждая свою точку зрения."
371,выдвигать возражения,1,возражать,dict,При обсуждении проекта некоторые участники стали [MASK] по поводу сроков.,При обсуждении проекта некоторые участники стали выдвигать возражения по поводу сроков.
372,выдвигать вопрос,1,спрашиват,dict,"Прежде чем приступить к анализу, следует [MASK] и обсудить его с группой.","Прежде чем приступить к анализу, следует выдвинуть вопрос и обсудить его с группой."
373,выдвигать гипотезу,1,предполагать,dict,Учёный решился [MASK] о возможной связи между явлениями.,Учёный решился выдвинуть гипотезу о возможной связи между явлениями.
374,выдвигать комод,0,-,nat_corpus,,
375,выдвигать кровать,0,-,nat_corpus,,
376,выдвигать на должность,0,-,nat_corpus,,
377,выдвигать проект,0,-,nat_corpus,,
378,выдерживать испытание,0,-,nat_corpus,,
379,выдерживать конкуренцию,0,-,nat_corpus,,
380,выдерживать критику,0,-,nat_corpus,,
381,выдерживать нагрузку,0,-,nat_corpus,,
382,выдерживать паузу,1,подождать,dict,"После напряжённой реплики он на мгновение [MASK], прежде чем ответить.","После напряжённой реплики он на мгновение выдержал паузу, прежде чем ответить."
383,выдерживать проверку,1,выстоять,dict,Эта теория способна [MASK] временем и практическими испытаниями.,Эта теория способна выдерживать проверку временем и практическими испытаниями.
384,выдерживать удар,1,выстоять,dict,"Несмотря на предательство, он сумел достойно [MASK] и продолжить сражение.","Несмотря на предательство, он сумел достойно выдержать удар и продолжить сражение."
385,выдерживать экзамен,1,выстоять,dict,"Чтобы получить допуск к практике, студент обязан [MASK] по всем дисциплинам.","Чтобы получить допуск к практике, студент обязан выдержать экзамен по всем дисциплинам."
386,вызывать волнение,1,волновать,dict,Резкое заявление спикера могло [MASK] в зале заседаний.,Резкое заявление спикера могло вызывать волнение в зале заседаний.
387,вызывать восхищение,1,восхищать,dict,Его мастерство и скромность вскоре начинали [MASK] у зрителей.,Его мастерство и скромность вскоре начинали вызывать восхищение у зрителей.
388,вызывать гнев,1,гневить,dict,Несправедливое решение судьи стало [MASK] у болельщиков.,Несправедливое решение судьи стало вызывать гнев у болельщиков.
389,вызывать желание,0,-,nat_corpus,,
390,вызывать затруднение,1,затруднять,dict,Сложная формулировка может [MASK] даже у опытного читателя.,Сложная формулировка может вызывать затруднение даже у опытного читателя.
391,вызывать необходимость,0,-,nat_corpus,,
392,вызывать скорую,0,-,nat_corpus,,
393,вызывать чувство,0,-,nat_corpus,,
394,выигрывать время,1,успевать,dict,"Он начал задавать отвлекающие вопросы, пытаясь [MASK] для команды, чтобы они успели продумать свою тактику.","Он начал задавать отвлекающие вопросы, пытаясь выигрывать время для команды, чтобы они успели продумать свою тактику."
395,выигрывать гонки,0,-,GPT-4o,,
396,выигрывать иски,0,-,GPT-4o,,
397,выигрывать первенство,1,побеждать,nat_corpus,Благодаря упорным тренировкам ей удалось [MASK] на соревнованиях.,Благодаря упорным тренировкам ей удалось выиграть первенство на соревнованиях.
398,выигрывать поединок,1,побеждать,nat_corpus,"В напряжённой схватке ему удалось [MASK], проявив отличную тактику.","В напряжённой схватке ему удалось выиграть поединок, проявив отличную тактику."
399,выигрывать приз,0,-,GPT-4o,,
400,выйти замуж,0,-,nat_corpus,,
401,выйти из себя,1,взбеситься,dict,"Когда он увидел сломанный ноутбук, то буквально [MASK] от ярости.","Когда он увидел сломанный ноутбук, то буквально вышел из себя от ярости."
402,выйти из ума,1,сбрендить,dict,"Старик заболел умственной болезнью, из-за которой вскоре совершенно [MASK] и стал недееспособным.","Старик заболел умственной болезнью, из-за которой вскоре совершенно вышел из ума и стал недееспособным."
403,выйти на улицу,0,-,nat_corpus,,
404,выкраивать время,1,успевать,dict,"Несмотря на плотный график, он старался [MASK] для семьи.","Несмотря на плотный график, он старался выкраивать время для семьи."
405,выкраивать крохи,0,-,nat_corpus,,
406,вынашивать бизнес,0,-,nat_corpus,,
407,вынашивать замысел,1,замышлять,nat_corpus,"Архитектор в течение года [MASK], прежде чем представить проект.","Архитектор в течение года вынашивал замысел, прежде чем представить проект."
408,вынашивать идею,1,раздумывать,nat_corpus,Ещё со студенческих лет она стала [MASK] о собственном проекте.,Ещё со студенческих лет она стала вынашивать идею о собственном проекте.
409,вынашивать искру,0,-,nat_corpus,,
410,вынашивать месть,0,-,nat_corpus,,
411,вынашивать мысль,1,размышлять,nat_corpus,"Писатель долго [MASK] о вечной жизни, прежде чем взяться за роман.","Писатель долго вынашивал мысль о вечной жизни, прежде чем взяться за роман."
412,вынашивать планы,1,планировать,dict,"Втайне от всех он начал [MASK], которые могли изменить всю его жизнь.","Втайне от всех он начал вынашивать планы, которые могли изменить всю его жизнь."
413,вынашивать ребенка,0,-,nat_corpus,,
414,выносить вещи,0,-,nat_corpus,,
415,выносить выговор,1,выговаривать,dict,За грубое нарушение дисциплины ему могли [MASK] в любой момент и уволить его из компании.,За грубое нарушение дисциплины ему могли вынести выговор в любой момент и уволить его из компании.
416,выносить мусор,0,-,GPT-4o,,
417,выносить обвинение,1,обвинять,dict,После долгого следствия прокуратура решила [MASK] подозреваемому по трём статьям.,После долгого следствия прокуратура решила вынести обвинение подозреваемому по трём статьям.
418,выносить порицание,1,порицать,dict,За аморальное поведение ему было решено [MASK] перед всеми коллегами.,За аморальное поведение ему было решено вынести порицание перед всеми коллегами.
419,выносить пытку,0,-,nat_corpus,,
420,выносить решение,1,решать,dict,"После обсуждения судья должен был окончательно [MASK], несмотря на давление со стороны адвокатов.","После обсуждения судья должен был окончательно вынести решение, несмотря на давление со стороны адвокатов."
421,выносить страдания,0,-,nat_corpus,,
422,выпадать из внимания,1,теряться,dict,Иногда важные мелочи могут полностью [MASK] при обсуждении крупных вопросов.,Иногда важные мелочи могут полностью выпадать из внимания при обсуждении крупных вопросов.
423,выпадать из культуры,0,-,nat_corpus,,
424,выпадать из окна,0,-,nat_corpus,,
425,выпадать из памяти,1,забываться,dict,"Название книги [MASK] у меня, хотя сюжет я хорошо помнил.","Название книги выпало из памяти у меня, хотя сюжет я хорошо помнил."
426,выпадать из перечня,0,-,nat_corpus,,
427,выпадать из поля зрения,1,теряться,dict,"Законы не обновлялись все последние годы, а после административной реформы этот аспект деятельности вообще [MASK] государства","Законы не обновлялись все последние годы, а после административной реформы этот аспект деятельности вообще выпал из поля зрения государства"
428,выпадать из потока,0,-,nat_corpus,,
429,выпадать на долю,1,озадачить,dict,Такое тяжёлое испытание не должно [MASK] одного человека.,Такое тяжёлое испытание не должно выпадать на долю одного человека.
430,выпускать журнал,0,-,nat_corpus,,
431,выпускать из виду,1,терять,dict,В спешке мы могли [MASK] что-то важное.,В спешке мы могли выпустить из виду что-то важное.
432,выпускать из поля зрения,1,терять,dict,"Проект оказался настолько незаметным, что его долго [MASK] и не обращали внимания на его большой потенциал.","Проект оказался настолько незаметным, что его долго выпускали из поля зрения и не обращали внимания на его большой потенциал."
433,выпускать класс,0,-,GPT-4o,,
434,выпускать преступника,0,-,GPT-4o,,
435,выпускать продукцию,1,производить,nat_corpus,Завод начал [MASK] в новых объёмах благодаря модернизации.,Завод начал выпускать продукцию в новых объёмах благодаря модернизации.
436,выпустить альбом,0,-,nat_corpus,,
437,выпустить из тюрьмы,0,-,nat_corpus,,
438,выпустить кишки,1,расчехвостить,dict,"В драке он действовал жестоко, грозя [MASK] обидчику и не оставить от него даже мокрого места.","В драке он действовал жестоко, грозя выпустить кишки обидчику и не оставить от него даже мокрого места."
439,выпустить книгу,0,-,nat_corpus,,
440,выпустить когти,1,оскалиться,nat_corpus,"В ответ на угрозы она не испугалась, а, напротив, [MASK], словно кошка, и показала, на что способна.","В ответ на угрозы она не испугалась, а, напротив, выпустила когти, словно кошка, и показала, на что способна."
441,выпустить манифест,0,-,nat_corpus,,
442,выпустить пар,1,расслабиться,nat_corpus,"После тяжёлого дня он пошёл в спортзал, чтобы [MASK] злости и прийти в себя.","После тяжёлого дня он пошёл в спортзал, чтобы выпустить пар злости и прийти в себя."
443,выпустить пулю,1,выстрелить,nat_corpus,"С трудом прицелившись сквозь густой дым, он [MASK] и мгновенно скрылся за укрытием.","С трудом прицелившись сквозь густой дым, он выпустил пулю и мгновенно скрылся за укрытием."
444,вырабатывать антитела,0,-,nat_corpus,,
445,вырабатывать гормоны,0,-,nat_corpus,,
446,вырабатывать навык,1,учиться,nat_corpus,"Для того, чтобы хорошо [MASK] и закрепить их, нужно много практиковаться. ","Для того, чтобы хорошо выработать навыки и закрепить их, нужно много практиковаться."
447,вырабатывать план,1,планировать,nat_corpus,Перед началом работы команда должна [MASK] с учётом всех рисков.,Перед началом работы команда должна выработать план с учётом всех рисков.
448,вырабатывать политику,0,-,nat_corpus,,
449,вырабатывать проектр,1,проектировать,nat_corpus,Архитекторы начали [MASK] нового жилого комплекса.,Архитекторы начали вырабатывать проект нового жилого комплекса.
450,вырабатывать стиль,0,-,nat_corpus,,
451,вырабатывать характер,1,воспитать,dict,Детские трудности помогают людям стать сильнее и [MASK] и учат преодолевать препятствия.,Детские трудности помогают людям стать сильнее и вырабатывать характер и учат преодолевать препятствия.
452,выражать благодарность,1,благодарить,dict,В конце встречи он не забыл [MASK] за помощь и поддержку.,В конце встречи он не забыл выразить благодарность за помощь и поддержку.
453,выражать готовность,0,-,nat_corpus,,
454,выражать интересы,0,-,nat_corpus,,
455,выражать недоверие,1,сомневаться,nat_corpus,После скандального отчета граждане начали [MASK] правительству.,После скандального отчета граждане начали выражать недоверие правительству.
456,выражать обеспокоенность,1,беспокоиться,nat_corpus,Представители международных организаций стали [MASK] по поводу ситуации.,Представители международных организаций стали выражать обеспокоенность по поводу ситуации.
457,выражать согласие,1,соглашаться,dict,"Подписывая документ, каждая сторона должна явно [MASK] и не иметь претензий друг к другу.","Подписывая документ, каждая сторона должна явно выражать согласие  и не иметь претензий друг к другу."
458,выражать суть,0,-,nat_corpus,,
459,выражать характер,0,-,nat_corpus,,
460,выставить кандидатуру,0,-,GPT-4o,,
461,выставить локоть,0,-,GPT-4o,,
462,выставить на вид,1,выпятить,dict,"Он [MASK] довольно важный резон, что сердце его принадлежит уже другой.","Он выставил на вид довольно важный резон, что сердце его принадлежит уже другой."
463,выставить на мороз,1,выставить,nat_corpus,"Его [MASK], выгнав из дома, хотя на улице был ужасный холод - минус 30 градусов.","Его выставили на мороз, выгнав из дома, хотя на улице был ужасный холод - минус 30 градусов."
464,выставить на продажу,0,-,GPT-4o,,
465,выставить напоказ,1,продемонстрировать,nat_corpus,Он не упустил шанса [MASK] свои заслуги.,Он не упустил шанса выставить напоказ свои заслуги.
466,выставить оценку,1,оценить,nat_corpus,Учитель отказался [MASK] до проверки задания.,Учитель отказался выставить оценку до проверки задания.
467,выставить чек,0,-,GPT-4o,,
468,выступать в роли,1,быть,dict,В этом проекте он должен был [MASK] консультанта.,В этом проекте он должен был выступать в роли консультанта.
469,выступать в суде,0,-,nat_corpus,,
470,выступать в функции,1,быть,dict,На встрече представитель начал [MASK] посредника между сторонами.,На встрече представитель начал выступать в функции посредника между сторонами.
471,выступать гарантом,1,гарантировать,nat_corpus,Организация взялась [MASK] соблюдения всех договоренностей.,Организация взялась выступать гарантом соблюдения всех договоренностей.
472,выступать инициатором,1,инициировать,nat_corpus,Он первым стал [MASK] реформ в этой сфере.,Он первым стал выступать инициатором реформ в этой сфере.
473,выступать на собрании,0,-,nat_corpus,,
474,выступать на сцене,0,-,nat_corpus,,
475,выступать с лекией,0,-,nat_corpus,,
476,выходить в коридор,0,-,nat_corpus,,
477,выходить в свет,1,показываться,dict,Новая книга автора должна [MASK] уже в следующем месяце.,Новая книга автора должна выйти в свет уже в следующем месяце.
478,выходить за рамки,1,нарушить,dict,Его поведение начало [MASK] допустимого.,Его поведение начало выходить за рамки допустимого.
479,выходить замуж,0,-,nat_corpus,,
480,выходить из дома,0,-,nat_corpus,,
481,выходить из строя,1,ломаться,dict,Из-за скачка напряжения техника начала барахлить и в конце концов [MASK].,Из-за скачка напряжения техника начала барахлить и в конце концов выходить из строя.
482,выходить из терпения,1,взвинчиваться,dict,"После ее слов он совершенно потерял контроль над собой и [MASK], начав кричать на нее.","После ее слов он совершенно потерял контроль над собой и вышел из терпения, начав кричать на нее."
483,выходить на поле,0,-,nat_corpus,,
484,гнать в шею,1,прогонять,nat_corpus,"За проступки и неповиновение хозяева [MASK] даже старых слуг, не давая им остаться в доме еще хоть на один день.","За проступки и неповиновение хозяева гнали в шею даже старых слуг, не давая им остаться в доме еще хоть на один день."
485,гнать волну,1,сплетничать,dict,"Он весь вечер [MASK], пытаясь спровоцировать в соцсетях очередной резонанс.","Он весь вечер гнал волну, пытаясь спровоцировать в соцсетях очередной резонанс."
486,гнать пургу,1,болтать,nat_corpus,"Он уверенно вещал с трибуны, не стесняясь [MASK] о грядущем экономическом подъёме.","Он уверенно вещал с трибуны, не стесняясь гнать пургу о грядущем экономическом подъёме."
487,гнать пыль,0,-,nat_corpus,,
488,гнать самогон,0,-,nat_corpus,,
489,гнать стадо,0,-,nat_corpus,,
490,говорить гадости,0,-,nat_corpus,,
491,говорить дело,0,-,nat_corpus,,
492,говорить дерзости,1,дерзить,nat_corpus,"Учеников, которые [MASK] учителю и даже перешли на оскорбления, вызвали к директору.","Учеников, которые говорили дерзости учителю и даже перешли на оскорбления, вызвали к директору."
493,говорить историю,0,-,nat_corpus,,
494,говорить комплименты,1,хвалить,nat_corpus,"Даже спустя несколько лет брака он не переставал [MASK], всегда отмечая ее превосходные наряды и красоту.","Даже спустя несколько лет брака он не переставал говорить ей комплименты, всегда отмечая ее превосходные наряды и красоту."
495,говорить неправду,1,лгать,nat_corpus,"Чтобы избежать наказания, подросток начал [MASK] и нагло врать в лицо взрослым.","Чтобы избежать наказания, подросток начал говорить неправду и нагло врать в лицо взрослым."
496,говорить пословицу,0,-,nat_corpus,,
497,говорить проповедь,1,проповедовать,nat_corpus,"Каждое воскресенье он поднимался на кафедру, чтобы [MASK] прихожанам.","Каждое воскресенье он поднимался на кафедру, чтобы говорить проповедь прихожанам."
498,гореть в глазах,0,-,GPT-4o,,
499,гореть в печи,0,-,GPT-4o,,
500,гореть желанием,1,желать,dict,"Лекция его так заинтересовала и воодушевила, что после нее он [MASK] задать много вопросов.","Лекция его так заинтересовала и воодушевила, что после нее он горел желанием задать много вопросов."
501,гореть лампой,0,-,GPT-4o,,
502,гореть на солнце,0,-,GPT-4o,,
503,гореть нетерпением,1,ожидать,nat_corpus,Дети уже не могли ждать и [MASK] начать путешествие как можно скорее.,Дети уже не могли ждать и горели нетерпением начать путешествие как можно скорее.
504,гореть от стыда,1,стыдиться,nat_corpus,"Она совершенно [MASK], вспоминая тот неловкий момент.","Она совершенно горела от стыда, вспоминая тот неловкий момент."
505,гореть работой,1,увлекаться,nat_corpus,Он полностью [MASK] и не замечал времени.,Он полностью горел работой и не замечал времени.
506,греть гоев,1,обманывать,nat_corpus,"Мошенникам нужно все больше и больше [MASK], чтобы обеспечить себе стабильный поток денег","Мошенникам нужно все больше и больше греть гоев, чтобы обеспечить себе стабильный поток денег"
507,греть душу,1,радовать,dict,"Каждое её письмо, наполненное тёплыми словами, способно [MASK] каждому читающему.","Каждое её письмо, наполненное тёплыми словами, способно греть душу каждому читающему."
508,греть еду,0,-,nat_corpus,,
509,греть на сковороде,0,-,nat_corpus,,
510,греть печку,0,-,nat_corpus,,
511,греть самовар,0,-,nat_corpus,,
512,греть сердце,1,радовать,nat_corpus,"Воспоминания о детстве, о родном доме и голосе матери до сих пор [MASK] в минуты тревог.","Воспоминания о детстве, о родном доме и голосе матери до сих пор греют сердце в минуты тревог."
513,греть уши,1,подслушивать,nat_corpus,"Он любил сидеть за столом со взрослыми и [MASK], подслушивая то, что ему не надо было слышать.","Он любил сидеть за столом со взрослыми и греть уши, подслушивая то, что ему не надо было слышать."
514,давать в обиду,1,обижать,dict,Я никогда не [MASK] своего младшего брата и никому не позволю его обижать!,Я никогда не дам в обиду своего младшего брата и никому не позволю его обижать!
515,давать в обиду себя,1,обижать,dict,Она научилась не [MASK] и отстаивать своё мнение.,Она научилась не давать в обиду себя и отстаивать своё мнение.
516,давать взятку,0,-,nat_corpus,,
517,давать волю,1,позволять,dict,Родители старались [MASK] чувствам ребёнка.,Родители старались давать волю чувствам ребёнка.
518,давать воспитание,1,воспитывать,dict,"Важно не только кормить и одевать ребёнка, но и [MASK] ему, чтобы он вырос хорошим человеком.","Важно не только кормить и одевать ребёнка, но и давать воспитание ему, чтобы он вырос хорошим человеком."
519,давать деньги,0,-,nat_corpus,,
520,давать обед,0,-,nat_corpus,,
521,давать показания,0,-,nat_corpus,,
522,дать адрес,0,-,nat_corpus,,
523,дать возможность,1,позволить,nat_corpus,"Наш проект [MASK] попробовать себя в науке каждому, кто хочет этого хочет.","Наш проект дает возможность попробовать себя в науке каждому, кто хочет этого хочет."
524,дать деньги,0,-,nat_corpus,,
525,дать квитанцию,0,-,nat_corpus,,
526,дать название,1,назвать,dict,"Этой улице [MASK] в честь героя, который раньше на ней жил.","Этой улице дали название в честь героя, который раньше на ней жил."
527,дать оплеуху,0,-,nat_corpus,,
528,дать ответ,1,ответить,nat_corpus,После долгих раздумий она всё же решилась [MASK] на письмо.,После долгих раздумий она всё же решилась дать ответ на письмо.
529,дать показания,0,-,nat_corpus,,
530,дать руку,0,-,nat_corpus,,
531,дать слабину,1,слабеть,dict,"Отец не выдержал и [MASK], разрешив сыну то, что сначала ему запрещали.","Отец не выдержал и дал слабину, разрешив сыну то, что сначала ему запрещали."
532,дать слово,1,пообещать,dict,"Он [MASK] своим родителям, что бросит вредные привычки и вернется в вуз.","Он дал слово своим родителям, что бросит вредные привычки и вернется в вуз."
533,дать стакан,0,-,nat_corpus,,
534,двинуть войска,0,-,nat_corpus,,
535,двинуть дело,1,продвинуться,nat_corpus,Благодаря общим усилиям нам удалось [MASK] вперед и выйти на новый уровень.,Благодаря общим усилиям нам удалось двинуть дело вперед и выйти на новый уровень.
536,двинуть кони,1,умереть,dict,"Старик пошутил, что если ещё раз поднимет такой вес, то может и [MASK] и его внукам придется хоронить его всего лишь в 60 лет.","Старик пошутил, что если ещё раз поднимет такой вес, то может и двинуть кони и его внукам придется хоронить его всего лишь в 60 лет."
537,двинуть копыта,1,умереть,dict,"После той аварии можно было и [MASK], но он каким-то чудом выжил.","После той аварии можно было и двинуть копыта, но он каким-то чудом выжил."
538,двинуть ногой,0,-,nat_corpus,,
539,двинуть рукой,0,-,nat_corpus,,
540,двинуть рычаг,0,-,nat_corpus,,
541,двинуть телом,1,пошевелиться,nat_corpus,Прекрати лежать без дела и хоть немного [MASK] — помоги мне!,Прекрати лежать без дела и хоть немного двинь телом — помоги мне!
542,действовать на нервы,1,нервировать,dict,Его постоянные замечания начали [MASK] даже самым спокойным сотрудникам.,Его постоянные замечания начали действовать на нервы самым спокойным сотрудникам.
543,действовать по плану,0,-,nat_corpus,,
544,делать бизнес,0,-,nat_corpus,,
545,делать вид,1,притворяться,dict,"Она мастерски умела [MASK], будто ничего не произошло.","Она мастерски умела делать вид, будто ничего не произошло."
546,делать визит,1,навестить,dict,Президент собирался [MASK] в страну-соседа для участия в переговорах.,Президент собирался делать визит в страну-соседа для участия в переговорах.
547,делать вылазку,1,разведать,dict,Разведгруппа решила [MASK] в тыл врага под покровом ночи.,Разведгруппа решила делать вылазку в тыл врага под покровом ночи.
548,делать глупость,1,сглупить,dict,"Иногда он способен [MASK], не подумав о последствиях.","Иногда он способен делать глупость, не подумав о последствиях."
549,делать карьеру,0,-,nat_corpus,,
550,делать фильм,0,-,nat_corpus,,
551,делать чудеса,0,-,nat_corpus,,
552,держать в зубах,0,-,nat_corpus,,
553,держать в кулаке,0,-,nat_corpus,,
554,держать в курсе,1,осведомлять,dict,Мы договорились [MASK] друг друга обо всех изменениях.,Мы договорились держать в курсе друг друга обо всех изменениях.
555,держать в пальцах,0,-,nat_corpus,,
556,держать в памяти,1,помнить,dict,"Я старался [MASK] этот момент, потому что он многое для меня значил.","Я старался держать в памяти этот момент, потому что он многое для меня значил."
557,держать в поле зрения,1,видеть,dict,"Эту проблему нужно [MASK], чтобы не упустить деталей.","Эту проблему нужно держать в поле зрения, чтобы не упустить деталей."
558,держать во власти,1,властвовать,dict,"Он привык [MASK] людей, не давая им свободы воли.","Он привык держать во власти людей, не давая им свободы воли."
559,держать за шиворот,0,-,nat_corpus,,
560,держаться берега,0,-,nat_corpus,,
561,держаться в седле,0,-,nat_corpus,,
562,держаться в тени,1,скрываться,dict,"Он всегда предпочитал [MASK], предоставляя славу и внимание другим.","Он всегда предпочитал держаться в тени, предоставляя славу и внимание другим."
563,держаться за перила,0,-,nat_corpus,,
564,держаться за руку,0,-,nat_corpus,,
565,держаться молодцом,1,бороться,nat_corpus,"После сложной операции пациент [MASK], чем удивил даже врачей.","После сложной операции пациент держался молодцом, чем удивил даже врачей."
566,держаться на плаву,1,маневрировать,dict,"Несмотря на все трудности, малый бизнес всё ещё [MASK], пусть и с последними силами.","Несмотря на все трудности, малый бизнес всё ещё держится на плаву, пусть и с последними силами."
567,держаться особняком,1,сторониться,nat_corpus,"Даже на корпоративе он продолжал [MASK], избегая общения и шумных компаний.","Даже на корпоративе он продолжал держаться особняком, избегая общения и шумных компаний."
568,диктовать волю,1,управлять,dict,Он считал себя вправе [MASK] даже целым народам.,Он считал себя вправе диктовать волю даже целым народам.
569,диктовать мнение,0,-,nat_corpus,,
570,диктовать на слух,0,-,nat_corpus,,
571,диктовать необходимость,0,-,nat_corpus,,
572,диктовать письмо,1,надиктовывать,nat_corpus,"Она медленно [MASK], чтобы секретарь успевал записывать.","Она медленно диктовала письмо, чтобы секретарь успевал записывать."
573,диктовать правила,1,устанавливать,nat_corpus,"Авторитетный наставник не должен [MASK], а лишь направлять.","Авторитетный наставник не должен диктовать правила, а лишь направлять."
574,диктовать решение,0,-,nat_corpus,,
575,диктовать условия,1,навязывать,dict,"Нам пришлось уступить, потому что они начали [MASK] без компромиссов и не учитывая наше мнение.","Нам пришлось уступить, потому что они начали диктовать условия без компромиссов  и не учитывая наше мнение."
576,доводить до абсурда,0,-,nat_corpus,,
577,доводить до дома,0,-,nat_corpus,,
578,доводить до изнеможения,0,-,nat_corpus,,
579,доводить до конца,1,завершать,dict,"Он всегда стремился [MASK] любое начатое дело, даже если оно казалось безнадёжным.","Он всегда стремился доводить до конца любое начатое дело, даже если оно казалось безнадёжным."
580,доводить до крайности,1,запускать,dict,"Если ребенку грозит опасность, ситуацию нельзя [MASK], как это случилось, например, в Челябинске, когда отчим выгнал из дома подростка.
","Если ребенку грозит опасность, ситуацию нельзя доводить до крайности, как это случилось, например, в Челябинске, когда отчим выгнал из дома подростка."
581,доводить до ручки,1,бесить,dict,"Его беспечность и лень окончательно [MASK] семью, и они все не знали, что с ним делать.","Его беспечность и лень окончательно довели до ручки семью, и они все не знали, что с ним делать."
582,доводить до самоубийства,0,-,nat_corpus,,
583,доводить до ума,1,заканчивать,dict,"Мы не просто начали проект, а [MASK], тщательно проработав каждую деталь.","Мы не просто начали проект, а довели его до ума, тщательно проработав каждую деталь."
584,дойти до адресата,0,-,nat_corpus,,
585,дойти до магазина,0,-,nat_corpus,,
586,дойти до предела,1,достигнуть,nat_corpus,"На чемпионате мира он [MASK] своих возможностей и выдал такое выступление, что оно навсегда вошло в историю мирового спорта.","На чемпионате мира он дошел до предела своих возможностей и выдал такое выступление, что оно навсегда вошло в историю мирового спорта."
